user_id,num_topics,tweets_per_day,delta_following_changes,delta_followers_changes,delta_bio_changes,activity_level,kmeans_cluster,pca1,pca2
@VidyaDelhi,4,2.857142857142857,1,43,0,medium,1,-0.1961863758047561,-0.24811983045085942
@UniqRenders,4,11.7,0,0,0,high,1,-0.06752126764940578,0.28274501117913203
@Fight_The_Bane,4,2.333333333333333,2,16,0,medium,1,-0.26571664347657103,-0.2465027217338803
@ReadMeOfficial,4,5.28,0,0,0,high,1,-0.23268650221759327,-0.06441774795628465
@RawMaraby,4,1.4,0,7,0,medium,1,-0.3170173328370022,-0.2824922908047929
@StupidSingapore,4,1.9189189189189189,-396,2,0,medium,1,-1.775008577094837,0.5151637207233968
@SportsAvenueTP,4,1.4090909090909092,0,0,0,medium,1,-0.33227211093910874,-0.2737379162370272
@EyeonPalestine,4,1.0909090909090908,0,0,0,medium,1,-0.34045787022810137,-0.29094366045925835
@FELNewsTR,4,2.625,0,32,0,medium,1,-0.23018552764961298,-0.24576011081956708
@SilkeLeFay,4,3.357142857142857,-3,0,0,medium,1,-0.2932179292627365,-0.1626110691550593
